Team,Transfer Direction,Player,Age,Nationality,Position,Short Position,Market Value,Left Team,Left Team Flag,Fee
Arsenal FC,In,Jakub KiwiorJ. Kiwior,22,,Centre-Back,CB,€25.00m,,Spezia Calcio,€25.00m
Arsenal FC,In,Leandro TrossardL. Trossard,28,,Left Winger,LW,€38.00m,,Brighton,€24.00m
Arsenal FC,In,JorginhoJorginho,31,,Defensive Midfield,DM,€15.00m,,Chelsea,€11.30m
Arsenal FC,In,Arthur OkonkwoA. Okonkwo,21,,Goalkeeper,GK,€2.00m,,Crewe Alexandra,"End of loanJan 15, 2023"
Arsenal FC,Out,Arthur OkonkwoA. Okonkwo,21,,Goalkeeper,GK,€2.00m,,Sturm Graz,loan transfer
Arsenal FC,Out,MarquinhosMarquinhos,19,,Right Winger,RW,€7.00m,,Norwich,loan transfer
Arsenal FC,Out,Albert Sambi LokongaA. Lokonga,23,,Central Midfield,CM,€12.00m,,Crystal Palace,loan transfer
Arsenal FC,Out,Cédric SoaresC. Soares,31,,Right-Back,RB,€2.00m,,Fulham,loan transfer
Aston Villa,In,Jhon DuránJ. Durán,19,,Centre-Forward,CF,€17.00m,,Chicago,€16.64m
Aston Villa,In,Álex MorenoÁ. Moreno,29,,Left-Back,LB,€10.00m,,Real Betis,€13.50m
Aston Villa,In,Viljami SinisaloV. Sinisalo,21,,Goalkeeper,GK,€500k,,Burton Albion,"End of loanJan 2, 2023"
Aston Villa,In,Bertrand TraoréB. Traoré,27,,Right Winger,RW,€10.00m,,Basaksehir,"End of loanJan 31, 2023"
Aston Villa,Out,Danny IngsD. Ings,30,,Centre-Forward,CF,€9.00m,,West Ham,€12.00m
Aston Villa,Out,Frédéric GuilbertF. Guilbert,28,,Right-Back,RB,€4.00m,,R. Strasbourg,free transfer
Aston Villa,Out,Cameron ArcherC. Archer,21,,Centre-Forward,CF,€18.00m,,Middlesbrough,loan transfer
Aston Villa,Out,Morgan SansonM. Sanson,28,,Central Midfield,CM,€7.00m,,R. Strasbourg,loan transfer
Aston Villa,Out,Marvelous NakambaM. Nakamba,29,,Defensive Midfield,DM,€5.00m,,Luton,loan transfer
Aston Villa,Out,Ludwig AugustinssonL. Augustinsson,28,,Left-Back,LB,€3.00m,,Sevilla FC,"End of loanJan 29, 2023"
Aston Villa,Out,Jan BednarekJ. Bednarek,26,,Centre-Back,CB,€12.00m,,Southampton,"End of loanJan 23, 2023"
AFC Bournemouth,In,Ilya ZabarnyiI. Zabarnyi,20,,Centre-Back,CB,€25.00m,,Dynamo Kyiv,€22.70m
AFC Bournemouth,In,Dango OuattaraD. Ouattara,20,,Right Winger,RW,€20.00m,,FC Lorient,€22.50m
AFC Bournemouth,In,Antoine SemenyoA. Semenyo,23,,Centre-Forward,CF,€10.00m,,Bristol City,€10.25m
AFC Bournemouth,In,Matías ViñaM. Viña,25,,Left-Back,LB,€8.00m,,AS Roma,Loan fee:€750k
AFC Bournemouth,In,Darren RandolphD. Randolph,35,,Goalkeeper,GK,€300k,,West Ham,free transfer
AFC Bournemouth,In,Hamed Junior TraorèH. Traorè,22,,Attacking Midfield,AM,€18.00m,,Sassuolo,loan transfer
AFC Bournemouth,In,Gavin KilkennyG. Kilkenny,22,,Central Midfield,CM,€300k,,Stoke City,"End of loanJan 30, 2023"
AFC Bournemouth,Out,James HillJ. Hill,20,,Centre-Back,CB,€1.00m,,Heart of Midl.,loan transfer
AFC Bournemouth,Out,Emiliano MarcondesE. Marcondes,27,,Attacking Midfield,AM,€1.50m,,Nordsjaelland,loan transfer
AFC Bournemouth,Out,Jamal LoweJ. Lowe,28,,Right Winger,RW,€1.50m,,QPR,loan transfer
AFC Bournemouth,Out,Will DennisW. Dennis,22,,Goalkeeper,GK,€175k,,Slough,loan transfer
AFC Bournemouth,Out,Gavin KilkennyG. Kilkenny,22,,Central Midfield,CM,€300k,,Charlton,loan transfer
AFC Bournemouth,Out,Siriki DembéléS. Dembélé,26,,Left Winger,LW,€2.00m,,AJ Auxerre,loan transfer
AFC Bournemouth,Out,Ben PearsonB. Pearson,28,,Defensive Midfield,DM,€2.20m,,Stoke City,loan transfer
Brentford FC,In,Kevin SchadeK. Schade,21,,Right Winger,RW,€25.00m,,SC Freiburg,Loan fee:€1.00m
Brentford FC,In,Paris MaghomaP. Maghoma,21,,Central Midfield,CM,€350k,,AFC Wimbledon,"End of loanJan 5, 2023"
Brentford FC,In,Tariqe FosuT. Fosu,27,,Left Winger,LW,€1.50m,,Stoke City,"End of loanJan 19, 2023"
Brentford FC,In,Mads Bech SörensenM. Bech Sörensen,23,,Centre-Back,CB,€2.50m,,OGC Nice,"End of loanJan 1, 2023"
Brentford FC,In,Fin StevensF. Stevens,19,,Right-Back,RB,€300k,,Swansea,"End of loanJan 1, 2023"
Brentford FC,In,Ellery BalcombeE. Balcombe,23,,Goalkeeper,GK,€300k,,Crawley Town,"End of loanJan 17, 2023"
Brentford FC,Out,Mads Bech SörensenM. Bech Sörensen,24,,Centre-Back,CB,€2.50m,,FC Groningen,loan transfer
Brentford FC,Out,Ellery BalcombeE. Balcombe,23,,Goalkeeper,GK,€300k,,Bristol Rovers,loan transfer
Brentford FC,Out,Tariqe FosuT. Fosu,27,,Left Winger,LW,€1.50m,,Rotherham,loan transfer
Brentford FC,Out,Paris MaghomaP. Maghoma,21,,Central Midfield,CM,€350k,,MK Dons,loan transfer
Brentford FC,Out,Charlie GoodeC. Goode,27,,Centre-Back,CB,€500k,,Blackpool,loan transfer
Brentford FC,Out,Sergi CanósS. Canós,25,,Right Winger,RW,€4.00m,,Olympiacos,loan transfer
Brighton & Hove Albion,In,Facundo BuonanotteF. Buonanotte,18,,Attacking Midfield,AM,€12.00m,,Rosario Central,€6.00m
Brighton & Hove Albion,In,Yasin AyariY. Ayari,19,,Central Midfield,CM,€6.00m,,AIK,€4.00m
Brighton & Hove Albion,In,Aaron ConnollyA. Connolly,22,,Centre-Forward,CF,€3.50m,,Venezia,"End of loanJan 5, 2023"
Brighton & Hove Albion,In,Shane DuffyS. Duffy,31,,Centre-Back,CB,€2.00m,,Fulham,"End of loanJan 30, 2023"
Brighton & Hove Albion,Out,Leandro TrossardL. Trossard,28,,Left Winger,LW,€38.00m,,Arsenal,€24.00m
Brighton & Hove Albion,Out,Shane DuffyS. Duffy,31,,Centre-Back,CB,€2.00m,,Fulham,?
Brighton & Hove Albion,Out,Aaron ConnollyA. Connolly,22,,Centre-Forward,CF,€3.50m,,Hull City,loan transfer
Chelsea FC,In,Enzo FernándezE. Fernández,22,,Central Midfield,CM,€80.00m,,Benfica,€121.00m
Chelsea FC,In,Mykhaylo MudrykM. Mudryk,22,,Left Winger,LW,€40.00m,,Shakhtar D.,€70.00m
Chelsea FC,In,Benoît BadiashileB. Badiashile,21,,Centre-Back,CB,€35.00m,,Monaco,€38.00m
Chelsea FC,In,Noni MaduekeN. Madueke,20,,Right Winger,RW,€25.00m,,PSV Eindhoven,€35.00m
Chelsea FC,In,Malo GustoM. Gusto,19,,Right-Back,RB,€25.00m,,Olympique Lyon,€30.00m
Chelsea FC,In,Andrey SantosAndrey Santos,18,,Defensive Midfield,DM,€14.00m,,Vasco da Gama,€12.50m
Chelsea FC,In,David Datro FofanaD. Fofana,20,,Centre-Forward,CF,€8.00m,,Molde FK,€12.00m
Chelsea FC,In,João FélixJoão Félix,23,,Left Winger,LW,€50.00m,,Atlético Madrid,Loan fee:€11.00m
Chelsea FC,In,Gabriel SloninaG. Slonina,18,,Goalkeeper,GK,€5.00m,,Chicago,"End of loanDec 31, 2022"
Chelsea FC,Out,JorginhoJorginho,31,,Defensive Midfield,DM,€15.00m,,Arsenal,€11.30m
Chelsea FC,Out,Andrey SantosAndrey Santos,18,,Defensive Midfield,DM,€14.00m,,Vasco da Gama,loan transfer
Chelsea FC,Out,Malo GustoM. Gusto,19,,Right-Back,RB,€25.00m,,Olympique Lyon,loan transfer
Crystal Palace,In,Jakub KiwiorJ. Kiwior,22,,Centre-Back,CB,€25.00m,,Spezia Calcio,€25.00m
Crystal Palace,In,Leandro TrossardL. Trossard,28,,Left Winger,LW,€38.00m,,Brighton,€24.00m
Crystal Palace,In,JorginhoJorginho,31,,Defensive Midfield,DM,€15.00m,,Chelsea,€11.30m
Crystal Palace,In,Arthur OkonkwoA. Okonkwo,21,,Goalkeeper,GK,€2.00m,,Crewe Alexandra,"End of loanJan 15, 2023"
Crystal Palace,Out,Arthur OkonkwoA. Okonkwo,21,,Goalkeeper,GK,€2.00m,,Sturm Graz,loan transfer
Crystal Palace,Out,MarquinhosMarquinhos,19,,Right Winger,RW,€7.00m,,Norwich,loan transfer
Crystal Palace,Out,Albert Sambi LokongaA. Lokonga,23,,Central Midfield,CM,€12.00m,,Crystal Palace,loan transfer
Crystal Palace,Out,Cédric SoaresC. Soares,31,,Right-Back,RB,€2.00m,,Fulham,loan transfer
Everton FC,In,Ellis SimmsE. Simms,21,,Centre-Forward,CF,€6.00m,,Sunderland,"End of loanDec 31, 2022"
Everton FC,In,Niels NkounkouN. Nkounkou,22,,Left-Back,LB,€6.00m,,Cardiff,"End of loanJan 13, 2023"
Everton FC,Out,Anthony GordonA. Gordon,21,,Left Winger,LW,€50.00m,,Newcastle,€45.60m
Everton FC,Out,Salomón RondónS. Rondón,33,,Centre-Forward,CF,€1.00m,,River Plate,free transfer
Everton FC,Out,Eldin JakupovićE. Jakupović,38,,Goalkeeper,GK,€100k,,LAFC,free transfer
Everton FC,Out,Niels NkounkouN. Nkounkou,22,,Left-Back,LB,€6.00m,,Saint-Étienne,loan transfer
Fulham FC,In,Sasa LukicS. Lukic,26,,Central Midfield,CM,€10.00m,,Torino,€9.80m
Fulham FC,In,Shane DuffyS. Duffy,31,,Centre-Back,CB,€2.00m,,Brighton,?
Fulham FC,In,Cédric SoaresC. Soares,31,,Right-Back,RB,€2.00m,,Arsenal,loan transfer
Fulham FC,In,Tyrese FrancoisT. Francois,22,,Central Midfield,CM,€500k,,HNK Gorica,"End of loanJan 10, 2023"
Fulham FC,In,Anthony KnockaertA. Knockaert,31,,Right Winger,RW,€600k,,Volos NPS,"End of loanJan 10, 2023"
Fulham FC,Out,Josh OnomahJ. Onomah,25,,Central Midfield,CM,€1.20m,,Preston,free transfer
Fulham FC,Out,Anthony KnockaertA. Knockaert,31,,Right Winger,RW,€600k,,Huddersfield,loan transfer
Fulham FC,Out,Nathaniel ChalobahN. Chalobah,28,,Defensive Midfield,DM,€1.80m,,West Brom,?
Fulham FC,Out,Kevin MbabuK. Mbabu,27,,Right-Back,RB,€3.50m,,Servette FC,loan transfer
Fulham FC,Out,Shane DuffyS. Duffy,31,,Centre-Back,CB,€2.00m,,Brighton,"End of loanJan 30, 2023"
Leeds United,In,Georginio RutterG. Rutter,20,,Centre-Forward,CF,€18.00m,,TSG Hoffenheim,€28.00m
Leeds United,In,Maximilian WöberM. Wöber,24,,Centre-Back,CB,€14.00m,,RB Salzburg,€12.00m
Leeds United,In,Weston McKennieW. McKennie,24,,Central Midfield,CM,€23.00m,,Juventus,Loan fee:€1.25m
Leeds United,In,Mateusz BoguszM. Bogusz,21,,Attacking Midfield,AM,€2.00m,,UD Ibiza,"End of loanMar 24, 2023"
Leeds United,Out,Mateusz BoguszM. Bogusz,21,,Attacking Midfield,AM,€2.00m,,LAFC,€1.00m
Leeds United,Out,Diego LlorenteD. Llorente,29,,Centre-Back,CB,€8.00m,,AS Roma,Loan fee:€500k
Leeds United,Out,Mateusz KlichM. Klich,32,,Central Midfield,CM,€2.00m,,D.C. United,free transfer
Leeds United,Out,Leo Fuhr HjeldeL. Hjelde,19,,Left-Back,LB,€1.50m,,Rotherham,loan transfer
Leeds United,Out,Cody DramehC. Drameh,21,,Right-Back,RB,€3.50m,,Luton,loan transfer
Leeds United,Out,Joe GelhardtJ. Gelhardt,20,,Centre-Forward,CF,€7.00m,,Sunderland,loan transfer
Leicester City,In,Harry SouttarH. Souttar,24,,Centre-Back,CB,€12.00m,,Stoke City,€17.00m
Leicester City,In,Victor KristiansenV. Kristiansen,20,,Left-Back,LB,€12.00m,,FC Copenhagen,€14.00m
Leicester City,In,TetêTetê,22,,Right Winger,RW,€20.00m,,Olympique Lyon,Loan fee:€1.00m
Leicester City,In,George HirstG. Hirst,23,,Centre-Forward,CF,€1.80m,,Blackburn,"End of loanJan 7, 2023"
Leicester City,Out,George HirstG. Hirst,23,,Centre-Forward,CF,€1.80m,,Ipswich,loan transfer
Leicester City,Out,Ayoze PérezA. Pérez,29,,Left Winger,LW,€6.00m,,Real Betis,loan transfer
Leicester City,Out,Marc AlbrightonM. Albrighton,33,,Right Midfield,RM,€1.00m,,West Brom,loan transfer
Liverpool FC,In,Cody GakpoC. Gakpo,23,,Centre-Forward,CF,€50.00m,,PSV Eindhoven,€42.00m
Liverpool FC,In,Rhys WilliamsR. Williams,21,,Centre-Back,CB,€1.80m,,Blackpool,"End of loanJan 23, 2023"
Liverpool FC,Out,No departures,,,,,,,,
Newcastle United,In,Anthony GordonA. Gordon,21,,Left Winger,LW,€50.00m,,Everton,€45.60m
Newcastle United,In,Harrison AshbyH. Ashby,21,,Right-Back,RB,€1.00m,,West Ham U21,€3.40m
Newcastle United,In,Garang KuolG. Kuol,18,,Left Winger,LW,€700k,,Central Coast,€350k
Newcastle United,In,Matty LongstaffM. Longstaff,22,,Central Midfield,CM,€900k,,Colchester Utd.,"End of loanJan 1, 2023"
Newcastle United,In,Martin DúbravkaM. Dúbravka,33,,Goalkeeper,GK,€1.00m,,Man Utd,"End of loanJan 1, 2023"
Newcastle United,Out,Jonjo ShelveyJ. Shelvey,30,,Central Midfield,CM,€3.30m,,Nottm Forest,€6.50m
Newcastle United,Out,Chris WoodC. Wood,31,,Centre-Forward,CF,€7.00m,,Nottm Forest,Loan fee:€4.50m
Newcastle United,Out,Karl DarlowK. Darlow,32,,Goalkeeper,GK,€1.00m,,Hull City,Loan fee:€157k
Newcastle United,Out,Garang KuolG. Kuol,18,,Left Winger,LW,€700k,,Heart of Midl.,loan transfer
Nottingham Forest,In,DaniloDanilo,21,,Central Midfield,CM,€28.00m,,Palmeiras,€20.00m
Nottingham Forest,In,Jonjo ShelveyJ. Shelvey,30,,Central Midfield,CM,€3.30m,,Newcastle,€6.50m
Nottingham Forest,In,Chris WoodC. Wood,31,,Centre-Forward,CF,€7.00m,,Newcastle,Loan fee:€4.50m
Nottingham Forest,In,FelipeFelipe,33,,Centre-Back,CB,€1.50m,,Atlético Madrid,€2.30m
Nottingham Forest,In,André AyewA. Ayew,33,,Left Winger,LW,€1.20m,,Al-Sadd SC,free transfer
Nottingham Forest,In,Gustavo ScarpaG. Scarpa,28,,Attacking Midfield,AM,€6.00m,,Palmeiras,free transfer
Nottingham Forest,In,Keylor NavasK. Navas,36,,Goalkeeper,GK,€2.00m,,Paris SG,loan transfer
Nottingham Forest,In,Brandon AguileraB. Aguilera,19,,Attacking Midfield,AM,€300k,,Guanacasteca,"End of loanJan 2, 2023"
Nottingham Forest,In,Alex MightenA. Mighten,20,,Left Winger,LW,€600k,,Sheff Wed,"End of loanJan 10, 2023"
Nottingham Forest,In,Josh BowlerJ. Bowler,23,,Right Winger,RW,€1.50m,,Olympiacos,"End of loanJan 4, 2023"
Nottingham Forest,In,Ui-jo HwangU. Hwang,30,,Centre-Forward,CF,€4.80m,,Olympiacos,"End of loanJan 31, 2023"
Nottingham Forest,In,Braian OjedaB. Ojeda,23,,Central Midfield,CM,€3.00m,,Salt Lake,"End of loanJun 30, 2023"
Nottingham Forest,Out,Adnan KanuricA. Kanuric,22,,Goalkeeper,GK,€150k,,Oxford City,loan transfer
Nottingham Forest,Out,Loïc Mbe SohL. Mbe Soh,21,,Centre-Back,CB,€2.00m,,Guingamp,loan transfer
Nottingham Forest,Out,Lewis O'BrienL. O'Brien,24,,Central Midfield,CM,€6.00m,,D.C. United,loan transfer
Nottingham Forest,Out,Ui-jo HwangU. Hwang,30,,Centre-Forward,CF,€4.80m,,FC Seoul,loan transfer
Nottingham Forest,Out,Jordan SmithJ. Smith,28,,Goalkeeper,GK,€250k,,Huddersfield,loan transfer
Nottingham Forest,Out,Brandon AguileraB. Aguilera,19,,Attacking Midfield,AM,€300k,,Estoril U23,loan transfer
Nottingham Forest,Out,Josh BowlerJ. Bowler,23,,Right Winger,RW,€1.50m,,Blackpool,loan transfer
Nottingham Forest,Out,Loïc BadéL. Badé,22,,Centre-Back,CB,€12.00m,,Stade Rennais,"End of loanDec 31, 2022"
Southampton FC,In,Kamaldeen SulemanaK. Sulemana,20,,Left Winger,LW,€18.00m,,Stade Rennais,€25.00m
Southampton FC,In,Paul OnuachuP. Onuachu,28,,Centre-Forward,CF,€13.00m,,KRC Genk,€18.00m
Southampton FC,In,Carlos AlcarazC. Alcaraz,20,,Central Midfield,CM,€15.00m,,Racing Club,€13.65m
Southampton FC,In,Mislav OrsicM. Orsic,30,,Left Winger,LW,€3.50m,,Dinamo Zagreb,€5.75m
Southampton FC,In,James BreeJ. Bree,25,,Right-Back,RB,€2.00m,,Luton,€850k
Southampton FC,In,Dan NlunduluD. Nlundulu,23,,Centre-Forward,CF,€900k,,Cheltenham,"End of loanJan 8, 2023"
Southampton FC,In,Jan BednarekJ. Bednarek,26,,Centre-Back,CB,€12.00m,,Aston Villa,"End of loanJan 23, 2023"
Southampton FC,Out,Dan NlunduluD. Nlundulu,23,,Centre-Forward,CF,€900k,,Bolton,loan transfer
Tottenham Hotspur,In,Pedro PorroP. Porro,23,,Right-Back,RB,€45.00m,,Sporting CP,Loan fee:€5.00m
Tottenham Hotspur,In,Arnaut DanjumaA. Danjuma,25,,Left Winger,LW,€17.00m,,Villarreal,Loan fee:€3.00m
Tottenham Hotspur,In,Alfie WhitemanA. Whiteman,24,,Goalkeeper,GK,€500k,,Degerfors,"End of loanDec 31, 2022"
Tottenham Hotspur,Out,Matt DohertyM. Doherty,31,,Right-Back,RB,€4.00m,,Atlético Madrid,free transfer
Tottenham Hotspur,Out,Bryan GilBryan Gil,21,,Left Winger,LW,€16.00m,,Sevilla FC,loan transfer
Tottenham Hotspur,Out,Djed SpenceD. Spence,22,,Right-Back,RB,€8.00m,,Stade Rennais,loan transfer
West Ham United,In,Danny IngsD. Ings,30,,Centre-Forward,CF,€9.00m,,Aston Villa,€12.00m
West Ham United,In,LuizãoLuizão,20,,Centre-Back,CB,€700k,,São Paulo,free transfer
West Ham United,In,Joseph AnangJ. Anang,22,,Goalkeeper,GK,€300k,,West Ham U21,-
West Ham United,Out,Craig DawsonC. Dawson,32,,Centre-Back,CB,€2.00m,,Wolves,€3.75m
West Ham United,Out,Darren RandolphD. Randolph,35,,Goalkeeper,GK,€300k,,Bournemouth,free transfer
West Ham United,Out,Conor CoventryC. Coventry,22,,Defensive Midfield,DM,€1.50m,,Rotherham,loan transfer
Wolverhampton Wanderers,In,João GomesJ. Gomes,21,,Central Midfield,CM,€22.00m,,Flamengo,€18.70m
Wolverhampton Wanderers,In,Mario LeminaM. Lemina,29,,Defensive Midfield,DM,€10.00m,,OGC Nice,€11.00m
Wolverhampton Wanderers,In,Pablo SarabiaP. Sarabia,30,,Right Winger,RW,€12.00m,,Paris SG,€5.00m
Wolverhampton Wanderers,In,Craig DawsonC. Dawson,32,,Centre-Back,CB,€2.00m,,West Ham,€3.75m
Wolverhampton Wanderers,In,Daniel BentleyD. Bentley,29,,Goalkeeper,GK,€2.00m,,Bristol City,€57k
Wolverhampton Wanderers,In,Matheus CunhaM. Cunha,23,,Centre-Forward,CF,€32.00m,,Atlético Madrid,loan transfer
Wolverhampton Wanderers,In,Leonardo CampanaL. Campana,22,,Centre-Forward,CF,€3.50m,,Miami,"End of loanDec 31, 2022"
Wolverhampton Wanderers,In,Ki-Jana HoeverK. Hoever,21,,Right-Back,RB,€3.50m,,PSV Eindhoven,"End of loanJan 25, 2023"
Wolverhampton Wanderers,In,Fábio SilvaF. Silva,20,,Centre-Forward,CF,€13.00m,,RSC Anderlecht,"End of loanJan 24, 2023"
Wolverhampton Wanderers,In,Louie MouldenL. Moulden,20,,Goalkeeper,GK,€200k,,Solihull Moors,"End of loanJan 2, 2023"
Wolverhampton Wanderers,In,Sang-bin JeongS. Jeong,20,,Centre-Forward,CF,€2.50m,,Grasshoppers,"End of loanMar 17, 2023"
Wolverhampton Wanderers,Out,Leonardo CampanaL. Campana,22,,Centre-Forward,CF,€3.50m,,Miami,€2.70m
Wolverhampton Wanderers,Out,Sang-bin JeongS. Jeong,20,,Centre-Forward,CF,€2.50m,,Minnesota,€2.50m
Wolverhampton Wanderers,Out,Connor RonanC. Ronan,24,,Central Midfield,CM,€1.00m,,Colorado,€570k
Wolverhampton Wanderers,Out,Léo BonatiniL. Bonatini,28,,Centre-Forward,CF,€1.20m,,San Luis,free transfer
Wolverhampton Wanderers,Out,Fábio SilvaF. Silva,20,,Centre-Forward,CF,€13.00m,,PSV Eindhoven,loan transfer
Wolverhampton Wanderers,Out,Gonçalo GuedesG. Guedes,26,,Left Winger,LW,€23.00m,,Benfica,loan transfer
Wolverhampton Wanderers,Out,Ki-Jana HoeverK. Hoever,21,,Right-Back,RB,€3.50m,,Stoke City,loan transfer
Wolverhampton Wanderers,Out,Chem CampbellC. Campbell,20,,Attacking Midfield,AM,€1.00m,,Wycombe,loan transfer
Wolverhampton Wanderers,Out,Yerson MosqueraY. Mosquera,21,,Centre-Back,CB,€3.50m,,Cincinnati,loan transfer
Wolverhampton Wanderers,Out,Matija SarkicM. Sarkic,25,,Goalkeeper,GK,€2.00m,,Stoke City,loan transfer
