teammate,player_id,player_name,position_id,position_name,x,y,id
True,4647,So-Yun Ji,13,Right Center Midfield,89.9,27.0,dfbf1f06-161d-45a3-a598-bc6141f4ec27
True,4961,Samantha May Kerr,21,Left Wing,104.6,31.3,dfbf1f06-161d-45a3-a598-bc6141f4ec27
True,4641,Francesca Kirby,23,Center Forward,99.5,39.6,dfbf1f06-161d-45a3-a598-bc6141f4ec27
False,36801,Aimee Palmer,13,Right Center Midfield,95.5,21.0,dfbf1f06-161d-45a3-a598-bc6141f4ec27
False,16384,Carla Humphrey,12,Right Midfield,101.8,18.0,dfbf1f06-161d-45a3-a598-bc6141f4ec27
False,46737,Ella Jade Mastrantonio,15,Left Center Midfield,96.8,25.2,dfbf1f06-161d-45a3-a598-bc6141f4ec27
False,25547,Chloe Logarzo,24,Left Center Forward,92.9,27.8,dfbf1f06-161d-45a3-a598-bc6141f4ec27
False,10093,Yana Daniels,16,Left Midfield,98.7,40.0,dfbf1f06-161d-45a3-a598-bc6141f4ec27
False,24239,Jemma Elizabeth Purfield,6,Left Back,103.2,38.2,dfbf1f06-161d-45a3-a598-bc6141f4ec27
False,16381,Gemma Evans,5,Left Center Back,103.2,31.8,dfbf1f06-161d-45a3-a598-bc6141f4ec27
False,15618,Jasmine Matthews,3,Right Center Back,105.3,29.4,dfbf1f06-161d-45a3-a598-bc6141f4ec27
False,24922,Florence Allen,2,Right Back,103.1,22.4,dfbf1f06-161d-45a3-a598-bc6141f4ec27
True,4660,Erin Cuthbert,15,Left Center Midfield,104.5,21.2,dfbf1f06-161d-45a3-a598-bc6141f4ec27
False,16376,Sophie Baggaley,1,Goalkeeper,119.4,40.3,dfbf1f06-161d-45a3-a598-bc6141f4ec27
True,4641,Francesca Kirby,23,Center Forward,100.9,35.4,a2470127-9060-4119-aea2-fa98e839a5d0
True,10395,Maren Nævdal Mjelde,2,Right Back,88.9,50.0,a2470127-9060-4119-aea2-fa98e839a5d0
True,4961,Samantha May Kerr,21,Left Wing,108.6,40.8,a2470127-9060-4119-aea2-fa98e839a5d0
True,15550,Bethany England,17,Right Wing,105.1,44.2,a2470127-9060-4119-aea2-fa98e839a5d0
False,16376,Sophie Baggaley,1,Goalkeeper,118.8,36.9,a2470127-9060-4119-aea2-fa98e839a5d0
False,16384,Carla Humphrey,12,Right Midfield,102.2,25.9,a2470127-9060-4119-aea2-fa98e839a5d0
False,25547,Chloe Logarzo,24,Left Center Forward,105.0,27.4,a2470127-9060-4119-aea2-fa98e839a5d0
False,36801,Aimee Palmer,13,Right Center Midfield,105.5,31.0,a2470127-9060-4119-aea2-fa98e839a5d0
False,24922,Florence Allen,2,Right Back,107.6,29.9,a2470127-9060-4119-aea2-fa98e839a5d0
False,15618,Jasmine Matthews,3,Right Center Back,108.9,32.0,a2470127-9060-4119-aea2-fa98e839a5d0
False,46737,Ella Jade Mastrantonio,15,Left Center Midfield,103.1,40.1,a2470127-9060-4119-aea2-fa98e839a5d0
False,16381,Gemma Evans,5,Left Center Back,108.9,37.8,a2470127-9060-4119-aea2-fa98e839a5d0
False,10093,Yana Daniels,16,Left Midfield,100.3,48.6,a2470127-9060-4119-aea2-fa98e839a5d0
False,24239,Jemma Elizabeth Purfield,6,Left Back,107.9,44.2,a2470127-9060-4119-aea2-fa98e839a5d0
True,17275,Hannah Jayne Blundell,6,Left Back,105.2,21.2,a2470127-9060-4119-aea2-fa98e839a5d0
True,15648,Melanie Leupolz,10,Center Defensive Midfield,96.8,35.3,a2470127-9060-4119-aea2-fa98e839a5d0
True,4647,So-Yun Ji,13,Right Center Midfield,106.7,27.0,a2470127-9060-4119-aea2-fa98e839a5d0
False,10093,Yana Daniels,16,Left Midfield,100.0,60.9,7c968b37-16a3-46f5-95b0-91aa54031128
True,15550,Bethany England,17,Right Wing,101.1,40.4,7c968b37-16a3-46f5-95b0-91aa54031128
True,4647,So-Yun Ji,13,Right Center Midfield,94.3,51.9,7c968b37-16a3-46f5-95b0-91aa54031128
True,4961,Samantha May Kerr,21,Left Wing,103.7,45.7,7c968b37-16a3-46f5-95b0-91aa54031128
True,4641,Francesca Kirby,23,Center Forward,104.0,53.7,7c968b37-16a3-46f5-95b0-91aa54031128
False,16376,Sophie Baggaley,1,Goalkeeper,119.2,39.7,7c968b37-16a3-46f5-95b0-91aa54031128
False,25547,Chloe Logarzo,24,Left Center Forward,93.4,50.2,7c968b37-16a3-46f5-95b0-91aa54031128
False,16381,Gemma Evans,5,Left Center Back,103.5,45.3,7c968b37-16a3-46f5-95b0-91aa54031128
False,24239,Jemma Elizabeth Purfield,6,Left Back,103.3,51.6,7c968b37-16a3-46f5-95b0-91aa54031128
True,17275,Hannah Jayne Blundell,6,Left Back,98.7,18.1,7c968b37-16a3-46f5-95b0-91aa54031128
True,4660,Erin Cuthbert,15,Left Center Midfield,89.3,39.5,7c968b37-16a3-46f5-95b0-91aa54031128
False,46737,Ella Jade Mastrantonio,15,Left Center Midfield,98.3,42.5,7c968b37-16a3-46f5-95b0-91aa54031128
False,15618,Jasmine Matthews,3,Right Center Back,102.5,37.6,7c968b37-16a3-46f5-95b0-91aa54031128
False,16384,Carla Humphrey,12,Right Midfield,100.5,25.7,7c968b37-16a3-46f5-95b0-91aa54031128
False,36801,Aimee Palmer,13,Right Center Midfield,95.9,33.2,7c968b37-16a3-46f5-95b0-91aa54031128
False,24922,Florence Allen,2,Right Back,102.1,33.7,7c968b37-16a3-46f5-95b0-91aa54031128
True,15550,Bethany England,17,Right Wing,105.9,33.4,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
True,10395,Maren Nævdal Mjelde,2,Right Back,80.2,65.5,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
True,4961,Samantha May Kerr,21,Left Wing,103.4,49.8,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
False,36801,Aimee Palmer,13,Right Center Midfield,91.3,37.2,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
False,10093,Yana Daniels,16,Left Midfield,83.8,60.8,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
False,24239,Jemma Elizabeth Purfield,6,Left Back,102.1,40.1,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
False,46737,Ella Jade Mastrantonio,15,Left Center Midfield,90.5,48.4,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
False,15618,Jasmine Matthews,3,Right Center Back,103.4,36.9,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
False,16381,Gemma Evans,5,Left Center Back,106.0,40.3,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
False,16376,Sophie Baggaley,1,Goalkeeper,119.1,39.3,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
True,17275,Hannah Jayne Blundell,6,Left Back,102.2,25.7,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
True,4660,Erin Cuthbert,15,Left Center Midfield,99.7,32.0,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
False,16384,Carla Humphrey,12,Right Midfield,101.7,27.0,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
False,24922,Florence Allen,2,Right Back,97.7,33.3,4e8fbf9b-8e8d-416c-8ce6-dee2b41341c8
False,15618,Jasmine Matthews,3,Right Center Back,94.5,35.9,eb8fa323-b274-4ab2-a407-7e2a87c47601
False,10093,Yana Daniels,16,Left Midfield,74.5,66.4,eb8fa323-b274-4ab2-a407-7e2a87c47601
False,46737,Ella Jade Mastrantonio,15,Left Center Midfield,91.9,49.0,eb8fa323-b274-4ab2-a407-7e2a87c47601
False,24239,Jemma Elizabeth Purfield,6,Left Back,102.6,47.9,eb8fa323-b274-4ab2-a407-7e2a87c47601
False,16381,Gemma Evans,5,Left Center Back,108.2,47.2,eb8fa323-b274-4ab2-a407-7e2a87c47601
True,4961,Samantha May Kerr,21,Left Wing,88.8,42.4,eb8fa323-b274-4ab2-a407-7e2a87c47601
True,4641,Francesca Kirby,23,Center Forward,101.4,42.8,eb8fa323-b274-4ab2-a407-7e2a87c47601
False,16376,Sophie Baggaley,1,Goalkeeper,119.3,42.3,eb8fa323-b274-4ab2-a407-7e2a87c47601
True,4633,Magdalena Lilly Eriksson,5,Left Center Back,117.7,49.2,b3514873-7396-426c-adc6-44d2d1b5296b
True,15648,Melanie Leupolz,10,Center Defensive Midfield,114.7,48.6,b3514873-7396-426c-adc6-44d2d1b5296b
True,10395,Maren Nævdal Mjelde,2,Right Back,108.7,44.7,b3514873-7396-426c-adc6-44d2d1b5296b
True,4961,Samantha May Kerr,21,Left Wing,113.3,36.7,b3514873-7396-426c-adc6-44d2d1b5296b
False,24922,Florence Allen,2,Right Back,117.9,27.3,b3514873-7396-426c-adc6-44d2d1b5296b
False,25547,Chloe Logarzo,24,Left Center Forward,110.8,40.3,b3514873-7396-426c-adc6-44d2d1b5296b
False,46737,Ella Jade Mastrantonio,15,Left Center Midfield,115.3,38.0,b3514873-7396-426c-adc6-44d2d1b5296b
False,15563,Charlie Wellings,22,Right Center Forward,109.9,46.8,b3514873-7396-426c-adc6-44d2d1b5296b
False,16381,Gemma Evans,5,Left Center Back,117.1,45.3,b3514873-7396-426c-adc6-44d2d1b5296b
False,10093,Yana Daniels,16,Left Midfield,119.2,50.6,b3514873-7396-426c-adc6-44d2d1b5296b
False,15618,Jasmine Matthews,3,Right Center Back,119.4,37.0,b3514873-7396-426c-adc6-44d2d1b5296b
False,16376,Sophie Baggaley,1,Goalkeeper,119.3,39.2,b3514873-7396-426c-adc6-44d2d1b5296b
False,24239,Jemma Elizabeth Purfield,6,Left Back,118.7,44.0,b3514873-7396-426c-adc6-44d2d1b5296b
False,36801,Aimee Palmer,13,Right Center Midfield,103.8,36.9,054d2b3f-33b8-4e3a-8e79-03704b8315f0
False,25547,Chloe Logarzo,24,Left Center Forward,107.7,36.2,054d2b3f-33b8-4e3a-8e79-03704b8315f0
False,24922,Florence Allen,2,Right Back,114.3,34.6,054d2b3f-33b8-4e3a-8e79-03704b8315f0
False,46737,Ella Jade Mastrantonio,15,Left Center Midfield,113.2,40.1,054d2b3f-33b8-4e3a-8e79-03704b8315f0
False,15618,Jasmine Matthews,3,Right Center Back,114.9,38.7,054d2b3f-33b8-4e3a-8e79-03704b8315f0
False,15563,Charlie Wellings,22,Right Center Forward,107.3,46.3,054d2b3f-33b8-4e3a-8e79-03704b8315f0
True,15550,Bethany England,17,Right Wing,115.9,40.2,054d2b3f-33b8-4e3a-8e79-03704b8315f0
True,10395,Maren Nævdal Mjelde,2,Right Back,106.5,42.1,054d2b3f-33b8-4e3a-8e79-03704b8315f0
False,16381,Gemma Evans,5,Left Center Back,113.4,43.7,054d2b3f-33b8-4e3a-8e79-03704b8315f0
False,24239,Jemma Elizabeth Purfield,6,Left Back,117.3,41.4,054d2b3f-33b8-4e3a-8e79-03704b8315f0
False,10093,Yana Daniels,16,Left Midfield,114.6,46.0,054d2b3f-33b8-4e3a-8e79-03704b8315f0
False,16376,Sophie Baggaley,1,Goalkeeper,119.1,40.6,054d2b3f-33b8-4e3a-8e79-03704b8315f0
True,4961,Samantha May Kerr,21,Left Wing,107.5,37.2,054d2b3f-33b8-4e3a-8e79-03704b8315f0
True,4642,Millie Bright,3,Right Center Back,112.7,33.1,054d2b3f-33b8-4e3a-8e79-03704b8315f0
True,4633,Magdalena Lilly Eriksson,5,Left Center Back,112.3,44.3,054d2b3f-33b8-4e3a-8e79-03704b8315f0
False,10093,Yana Daniels,16,Left Midfield,107.4,60.0,f637b336-a56a-4aa6-942d-ecb6d1e687ac
True,4641,Francesca Kirby,23,Center Forward,102.0,38.0,f637b336-a56a-4aa6-942d-ecb6d1e687ac
True,4647,So-Yun Ji,13,Right Center Midfield,104.6,39.9,f637b336-a56a-4aa6-942d-ecb6d1e687ac
True,15550,Bethany England,17,Right Wing,110.1,37.2,f637b336-a56a-4aa6-942d-ecb6d1e687ac
False,16376,Sophie Baggaley,1,Goalkeeper,119.3,37.4,f637b336-a56a-4aa6-942d-ecb6d1e687ac
False,36801,Aimee Palmer,13,Right Center Midfield,101.2,27.9,f637b336-a56a-4aa6-942d-ecb6d1e687ac
False,16384,Carla Humphrey,12,Right Midfield,99.9,35.1,f637b336-a56a-4aa6-942d-ecb6d1e687ac
True,4660,Erin Cuthbert,15,Left Center Midfield,106.0,28.1,f637b336-a56a-4aa6-942d-ecb6d1e687ac
False,25547,Chloe Logarzo,24,Left Center Forward,95.7,42.1,f637b336-a56a-4aa6-942d-ecb6d1e687ac
False,24922,Florence Allen,2,Right Back,107.4,30.0,f637b336-a56a-4aa6-942d-ecb6d1e687ac
False,15618,Jasmine Matthews,3,Right Center Back,107.9,34.8,f637b336-a56a-4aa6-942d-ecb6d1e687ac
False,46737,Ella Jade Mastrantonio,15,Left Center Midfield,104.3,43.8,f637b336-a56a-4aa6-942d-ecb6d1e687ac
False,16381,Gemma Evans,5,Left Center Back,110.8,37.9,f637b336-a56a-4aa6-942d-ecb6d1e687ac
False,24239,Jemma Elizabeth Purfield,6,Left Back,108.2,41.0,f637b336-a56a-4aa6-942d-ecb6d1e687ac
True,17275,Hannah Jayne Blundell,6,Left Back,109.0,40.4,f637b336-a56a-4aa6-942d-ecb6d1e687ac
True,4633,Magdalena Lilly Eriksson,5,Left Center Back,105.3,22.2,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
True,4660,Erin Cuthbert,15,Left Center Midfield,95.8,38.9,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
True,4641,Francesca Kirby,23,Center Forward,106.8,38.5,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
True,15648,Melanie Leupolz,10,Center Defensive Midfield,105.1,41.9,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
True,4642,Millie Bright,3,Right Center Back,106.6,44.9,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
True,4961,Samantha May Kerr,21,Left Wing,105.9,48.6,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
False,16384,Carla Humphrey,12,Right Midfield,103.2,34.1,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
True,15550,Bethany England,17,Right Wing,107.1,28.6,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
True,10395,Maren Nævdal Mjelde,2,Right Back,94.6,26.4,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
False,15618,Jasmine Matthews,3,Right Center Back,108.0,30.1,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
False,16376,Sophie Baggaley,1,Goalkeeper,119.4,38.7,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
False,24922,Florence Allen,2,Right Back,107.4,47.9,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
False,36801,Aimee Palmer,13,Right Center Midfield,107.5,44.6,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
False,46737,Ella Jade Mastrantonio,15,Left Center Midfield,106.7,42.6,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
False,25547,Chloe Logarzo,24,Left Center Forward,106.8,36.4,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
False,15563,Charlie Wellings,22,Right Center Forward,106.9,33.5,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
False,10093,Yana Daniels,16,Left Midfield,107.4,31.6,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
False,16381,Gemma Evans,5,Left Center Back,107.1,32.2,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
False,24239,Jemma Elizabeth Purfield,6,Left Back,107.7,31.0,9d471cfe-ad6c-4cd6-ba9b-ba254ac8d1f7
True,4642,Millie Bright,3,Right Center Back,114.9,34.8,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
True,15550,Bethany England,17,Right Wing,110.5,41.9,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
True,4961,Samantha May Kerr,21,Left Wing,112.4,43.3,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
True,4633,Magdalena Lilly Eriksson,5,Left Center Back,112.5,40.0,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
True,10395,Maren Nævdal Mjelde,2,Right Back,103.0,43.9,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
False,15563,Charlie Wellings,22,Right Center Forward,105.1,42.2,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
True,4641,Francesca Kirby,23,Center Forward,108.7,26.5,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
False,46737,Ella Jade Mastrantonio,15,Left Center Midfield,113.2,43.9,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
False,16384,Carla Humphrey,12,Right Midfield,100.7,40.7,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
False,24239,Jemma Elizabeth Purfield,6,Left Back,112.0,46.8,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
False,25547,Chloe Logarzo,24,Left Center Forward,112.0,42.8,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
False,24922,Florence Allen,2,Right Back,115.4,22.3,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
False,10093,Yana Daniels,16,Left Midfield,113.2,42.4,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
False,16381,Gemma Evans,5,Left Center Back,112.9,42.0,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
False,15618,Jasmine Matthews,3,Right Center Back,117.9,37.5,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
False,16376,Sophie Baggaley,1,Goalkeeper,119.1,42.3,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
False,36801,Aimee Palmer,13,Right Center Midfield,108.4,29.6,da399e5a-e3dc-4e5e-9ff3-f69cd0dd5497
True,17275,Hannah Jayne Blundell,6,Left Back,102.9,19.3,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
True,4961,Samantha May Kerr,21,Left Wing,101.4,25.2,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
True,15648,Melanie Leupolz,10,Center Defensive Midfield,93.8,35.9,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
False,25547,Chloe Logarzo,24,Left Center Forward,98.8,40.4,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
False,16384,Carla Humphrey,12,Right Midfield,101.2,21.1,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
False,36801,Aimee Palmer,13,Right Center Midfield,94.7,35.3,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
False,15618,Jasmine Matthews,3,Right Center Back,104.5,30.5,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
False,24922,Florence Allen,2,Right Back,103.9,38.9,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
False,16381,Gemma Evans,5,Left Center Back,101.6,44.7,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
False,46737,Ella Jade Mastrantonio,15,Left Center Midfield,93.7,50.6,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
False,10093,Yana Daniels,16,Left Midfield,101.0,60.0,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
False,24239,Jemma Elizabeth Purfield,6,Left Back,101.3,49.1,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
False,16376,Sophie Baggaley,1,Goalkeeper,119.1,40.6,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
True,4642,Millie Bright,3,Right Center Back,86.2,54.5,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
True,4641,Francesca Kirby,23,Center Forward,99.8,54.1,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
True,15550,Bethany England,17,Right Wing,102.8,40.9,6edb9d7f-a85d-4d8a-823a-59820bd34ca5
True,10395,Maren Nævdal Mjelde,2,Right Back,90.2,61.6,9268b7fa-6826-4722-a64f-a6cba8fc9b29
True,4641,Francesca Kirby,23,Center Forward,100.9,40.2,9268b7fa-6826-4722-a64f-a6cba8fc9b29
True,15648,Melanie Leupolz,10,Center Defensive Midfield,100.0,44.4,9268b7fa-6826-4722-a64f-a6cba8fc9b29
True,4660,Erin Cuthbert,15,Left Center Midfield,91.3,36.5,9268b7fa-6826-4722-a64f-a6cba8fc9b29
True,15550,Bethany England,17,Right Wing,109.3,44.2,9268b7fa-6826-4722-a64f-a6cba8fc9b29
True,4961,Samantha May Kerr,21,Left Wing,106.5,24.1,9268b7fa-6826-4722-a64f-a6cba8fc9b29
